,,,,2025,,,,,,,,
행정구역,,,,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60세 이상
서울특별시,도봉구,창제1동(1132051100),,"300,311","300,311","11,891","21,263","2,707","3,139","3,297","4,161","104,364"
서울특별시,도봉구,창제2동(1132051200),,"23,491","23,491",960,"1,805","3,260","3,828","3,732","4,755","7,422"
서울특별시,도봉구,창제3동(1132051300),,"27,474","27,474","1,091","1,861","1,336","1,418","1,708","2,381","8,947"
서울특별시,도봉구,창제4동(1132051400),,"12,778","12,778",401,879,"3,228","3,578","3,620","4,588","4,655"
서울특별시,도봉구,창제5동(1132051500),,"25,947","25,947","1,251","2,158","2,867","3,396","3,017","4,028","7,524"
서울특별시,도봉구,도봉제1동(1132052100),,"23,340","23,340","1,003","1,612","1,807","2,012","2,240","3,390","7,417"
서울특별시,도봉구,도봉제2동(1132052200),,"19,458","19,458",466,961,"2,394","3,274","3,327","4,054","8,582"
서울특별시,도봉구,쌍문제1동(1132066000),,"25,661","25,661","1,258","1,364","2,579","2,343","2,545","3,636","9,990"
서울특별시,도봉구,쌍문제2동(1132067000),,"20,502","20,502",752,"1,361","1,903","2,219","2,321","2,988","7,286"
서울특별시,도봉구,쌍문제3동(1132068000),,"17,338","17,338",626,"1,078","2,107","2,293","2,144","2,622","6,203"
서울특별시,도봉구,쌍문제4동(1132068100),,"15,956","15,956",555,867,"1,871","2,061","2,514","3,104","5,368"
서울특별시,도봉구,방학제1동(1132069000),,"17,698","17,698",801,"1,757","3,145","3,140","3,654","4,963","5,590"
서울특별시,도봉구,방학제2동(1132070000),,"27,577","27,577",982,"2,026","1,821","1,872","2,129","3,296","9,667"
서울특별시,도봉구,방학제3동(1132071000),,"17,689","17,689",515,"1,082","2,497","2,743","3,515","4,226","6,974"
서울특별시,노원구,-1135000000,,"25,402","25,402","1,230","2,452","61,584","61,061","69,248","84,180","8,739"
서울특별시,노원구,월계1동(1135056000),,"484,759","484,759","23,013","44,354","3,565","2,393","2,575","3,259","141,319"
서울특별시,노원구,월계2동(1135057000),,"20,137","20,137",754,"1,378","2,512","2,690","3,496","4,218","6,213"
서울특별시,노원구,월계3동(1135058000),,"24,870","24,870","1,153","1,860","2,792","4,424","3,807","4,372","8,941"
서울특별시,노원구,공릉1동(1135059500),,"27,922","27,922","1,544","1,739","6,400","4,882","4,650","5,337","9,244"
서울특별시,노원구,공릉2동(1135060000),,"35,293","35,293","1,235","2,299","6,717","5,408","6,165","6,440","10,490"
서울특별시,노원구,하계1동(1135061100),,"40,765","40,765","2,553","3,978","4,507","2,703","2,961","4,606","9,504"
서울특별시,노원구,하계2동(1135061200),,"25,678","25,678",803,"2,662","2,268","2,399","3,132","3,545","7,436"
서울특별시,노원구,중계본동(1135061900),,"19,673","19,673","1,092","2,232","2,687","1,667","3,944","4,544","5,005"
서울특별시,노원구,중계1동(1135062100),,"22,270","22,270","1,006","4,033","2,545","1,853","5,507","4,920","4,389"
서울특별시,노원구,중계4동(1135062400),,"25,987","25,987","1,541","5,177","2,085","1,788","2,585","3,567","4,444"
서울특별시,노원구,중계2.3동(1135062500),,"18,660","18,660",775,"1,833","3,318","3,888","4,220","5,452","6,027"
서울특별시,노원구,상계1동(1135063000),,"31,523","31,523","1,272","2,433","4,166","4,318","4,682","6,421","10,940"
서울특별시,노원구,상계2동(1135064000),,"36,112","36,112","1,546","2,750","2,642","2,195","2,263","3,597","12,229"
서울특별시,노원구,상계3.4동(1135066500),,"18,608","18,608",575,"1,413","2,832","2,716","3,500","4,905","5,923"
서울특별시,노원구,상계5동(1135067000),,"26,655","26,655","1,190","2,032","2,558","2,552","2,665","4,216","9,480"
서울특별시,노원구,상계6.7동(1135069500),,"22,197","22,197",653,"1,527","3,646","4,857","4,362","5,329","8,026"
서울특별시,노원구,상계8동(1135070000),,"30,389","30,389","1,624","2,402","2,175","4,715","3,384","2,989","8,169"
서울특별시,노원구,상계9동(1135071000),,"21,252","21,252","1,758","1,606","2,149","2,697","2,680","3,405","4,625"
서울특별시,노원구,상계10동(1135072000),,"19,008","19,008",899,"1,557","2,020","2,916","2,670","3,058","5,621"
서울특별시,은평구,-1138000000,,"17,760","17,760","1,040","1,443","56,346","66,700","64,972","76,687","4,613"
서울특별시,은평구,녹번동(1138051000),,"455,929","455,929","20,497","33,671","4,096","5,459","5,007","5,724","137,056"
서울특별시,은평구,불광제1동(1138052000),,"35,190","35,190","1,706","2,030","4,297","5,222","4,675","5,776","11,168"
서울특별시,은평구,불광제2동(1138053000),,"34,923","34,923","1,468","2,157","3,467","3,842","3,134","4,449","11,328"
서울특별시,은평구,갈현제1동(1138055100),,"26,227","26,227",621,"1,325","1,902","2,082","1,797","2,385","9,389"
서울특별시,은평구,갈현제2동(1138055200),,"14,017","14,017",368,861,"3,577","3,628","3,676","4,827","4,622"
서울특별시,은평구,구산동(1138056000),,"26,847","26,847",805,"2,048","3,708","3,840","4,121","5,575","8,286"
서울특별시,은평구,대조동(1138057000),,"30,678","30,678","1,051","2,346","4,582","5,320","3,299","3,980","10,037"
서울특별시,은평구,응암제1동(1138058000),,"27,030","27,030",764,"1,297","4,084","5,106","5,032","5,190","7,788"
서울특별시,은평구,응암제2동(1138059000),,"32,059","32,059","1,774","2,482","2,284","3,903","5,356","4,149","8,391"
서울특별시,은평구,응암제3동(1138060000),,"26,910","26,910","2,389","2,697","2,950","3,302","2,864","3,715","6,132"
서울특별시,은평구,역촌동(1138062500),,"22,964","22,964",593,"1,159","5,280","6,488","6,540","7,573","8,381"
서울특별시,은평구,신사제1동(1138063100),,"44,591","44,591","1,686","3,096","3,198","3,767","3,521","4,418","13,928"
서울특별시,은평구,신사제2동(1138063200),,"25,819","25,819","1,014","1,683","2,084","2,645","2,537","3,051","8,218"
서울특별시,은평구,증산동(1138064000),,"18,355","18,355",693,"1,288","1,853","2,166","2,122","2,694","6,057"
서울특별시,은평구,수색동(1138065000),,"15,308","15,308",868,"1,100","2,492","3,679","3,010","3,676","4,505"
